symbol,timeframe,direction,confidence,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,whale_direction_score,breakout_probability,entry_price,current_price,take_profit,stop_loss,support_level,resistance_level,target_time_hours,predicted_breakout_threshold,predicted_breakout_time_hours,timestamp,status,success_metrics,confidence_level,volume_score,pattern_score,momentum_score,order_book_imbalance,top_bid_walls,top_ask_walls,market_regime,regime_note
BERA/USDT,1h,LONG,0.37367721017421995,0,0,0,0,0.0,0.0,0.2599570469383208,0,2.191,2.191,2.2457749999999996,2.162107142857143,2.151296607142857,2.257003874999999,24.0,0.025,30.6,2025-07-15 19:36:26.321134,ACTIVE,{},0,1.0,0.5,0.5,0.5214045604500263,"[{""price"": 2.18, ""amount"": 98012.191}, {""price"": 2.17, ""amount"": 50130.607}, {""price"": 2.154, ""amount"": 36231.453}]","[{""price"": 2.25, ""amount"": 55777.014}, {""price"": 2.3, ""amount"": 9019.14}, {""price"": 2.236, ""amount"": 8383.993}]",unknown,
CTSI/USDT,1h,LONG,0.3688797621083785,0,0,0,0,0.0,0.0,-0.3191613653731243,0,0.0757,0.0757,0.0775925,0.07489642857142857,0.07452194642857143,0.07798046249999999,24.0,0.025,30.6,2025-07-15 19:38:35.572752,ACTIVE,{},0,1.0,0.5,0.5,-0.10028791584577493,"[{""price"": 0.0743, ""amount"": 172409.0}, {""price"": 0.0621, ""amount"": 161217.0}, {""price"": 0.0626, ""amount"": 159744.0}]","[{""price"": 0.077, ""amount"": 369099.0}, {""price"": 0.0792, ""amount"": 168937.0}, {""price"": 0.0772, ""amount"": 116746.0}]",unknown,
CHESS/USDT,1h,LONG,0.36870468626738095,0,0,0,0,0.0,0.0,-0.8684779669579652,0,0.0765,0.0765,0.0784125,0.07558928571428572,0.07521133928571429,0.0788045625,24.0,0.025,30.6,2025-07-15 19:39:26.341553,ACTIVE,{},0,1.0,0.5,0.5,-0.30094774867688884,"[{""price"": 0.0737, ""amount"": 204424.4}, {""price"": 0.0741, ""amount"": 134454.0}, {""price"": 0.0756, ""amount"": 128664.2}]","[{""price"": 0.0795, ""amount"": 479677.0}, {""price"": 0.0824, ""amount"": 329481.8}, {""price"": 0.0825, ""amount"": 284783.4}]",unknown,
BONK/USDT,1h,LONG,0.3687580443386529,0,0,0,0,0.0,0.0,0.0,0,2.99e-05,2.99e-05,3.0647499999999994e-05,2.9451499999999997e-05,2.9304242499999996e-05,3.080073749999999e-05,24.0,0.025,30.6,2025-07-15 19:40:12.948483,ACTIVE,{},0,0.2,0.5,0.5,-0.09891228144104355,"[{""price"": 2.962e-05, ""amount"": 7465962981.0}, {""price"": 2.956e-05, ""amount"": 6253771956.0}, {""price"": 2.943e-05, ""amount"": 3610863852.0}]","[{""price"": 3.025e-05, ""amount"": 6267175960.0}, {""price"": 3.077e-05, ""amount"": 5686159003.0}, {""price"": 3.024e-05, ""amount"": 4774052013.0}]",unknown,
AEVO/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,0.1891704194272444,0,0.1085,0.1085,0.11121249999999999,0.10742142857142857,0.10688432142857143,0.11176856249999997,24.0,0.025,30.6,2025-07-15 19:40:39.901260,ACTIVE,{},0,0.8,0.5,0.5,0.1980266723024263,"[{""price"": 0.1066, ""amount"": 473353.88}, {""price"": 0.1077, ""amount"": 466369.75}, {""price"": 0.1082, ""amount"": 134679.88}]","[{""price"": 0.1105, ""amount"": 281993.89}, {""price"": 0.1096, ""amount"": 234937.76}, {""price"": 0.1094, ""amount"": 106728.1}]",unknown,
BANANA/USDT,1h,LONG,0.3736296071523174,0,0,0,0,0.0,0.0,0.0,0,22.87,22.87,23.44175,22.52695,22.414315249999998,23.558958749999995,24.0,0.025,30.6,2025-07-15 19:41:03.040822,ACTIVE,{},0,0.2,0.5,0.5,-0.08185074623214932,"[{""price"": 22.44, ""amount"": 2057.639}, {""price"": 22.49, ""amount"": 783.782}, {""price"": 22.77, ""amount"": 567.382}]","[{""price"": 23.36, ""amount"": 2043.581}, {""price"": 23.24, ""amount"": 728.133}, {""price"": 23.96, ""amount"": 693.965}]",unknown,
BERA/USDT,1h,LONG,0.37367721017421995,0,0,0,0,0.0,0.0,0.09086004411759033,0,2.203,2.203,2.258075,2.174107142857143,2.1632366071428573,2.2693653749999996,24.0,0.025,30.6,2025-07-15 19:42:06.130863,ACTIVE,{},0,1.0,0.5,0.5,0.5618168152766836,"[{""price"": 2.17, ""amount"": 79641.892}, {""price"": 2.18, ""amount"": 50332.79}, {""price"": 2.168, ""amount"": 43191.52}]","[{""price"": 2.25, ""amount"": 64014.815}, {""price"": 2.3, ""amount"": 9019.14}, {""price"": 2.253, ""amount"": 8423.665}]",unknown,
BABY/USDT,1h,LONG,0.36871243782913377,0,0,0,0,0.0,0.0,0.37195940671779787,0,0.05272,0.05272,0.054037999999999996,0.052189285714285716,0.05192833928571429,0.05430818999999999,24.0,0.025,30.6,2025-07-15 19:42:34.022574,ACTIVE,{},0,0.2,0.5,0.5,0.31005921803290226,"[{""price"": 0.05248, ""amount"": 2320208.0}, {""price"": 0.05187, ""amount"": 1903287.0}, {""price"": 0.05172, ""amount"": 1325000.0}]","[{""price"": 0.05365, ""amount"": 1325000.0}, {""price"": 0.0531, ""amount"": 672391.0}, {""price"": 0.05352, ""amount"": 596713.0}]",unknown,
CTSI/USDT,1h,LONG,0.3688797621083785,0,0,0,0,0.0,0.0,0.3553481130786849,0,0.0738,0.0738,0.075645,0.07297142857142858,0.07260657142857144,0.076023225,24.0,0.025,30.6,2025-07-15 19:45:48.773105,ACTIVE,{},0,1.0,0.5,0.5,0.1547792835460852,"[{""price"": 0.073, ""amount"": 188360.0}, {""price"": 0.0621, ""amount"": 161217.0}, {""price"": 0.0626, ""amount"": 159744.0}]","[{""price"": 0.0761, ""amount"": 166990.0}, {""price"": 0.0785, ""amount"": 95404.0}, {""price"": 0.0744, ""amount"": 91888.0}]",unknown,
1INCH/USDT,1h,LONG,0.37063287994217764,0,0,0,0,0.0,0.0,0.0,0,0.3373,0.3373,0.34573249999999994,0.3322405,0.3305792975,0.3474611624999999,24.0,0.025,30.6,2025-07-15 19:46:25.998589,ACTIVE,{},0,0.2,0.5,0.5,0.22227197630807846,"[{""price"": 0.3349, ""amount"": 26364.1}, {""price"": 0.331, ""amount"": 26141.1}, {""price"": 0.3348, ""amount"": 23147.7}]","[{""price"": 0.3482, ""amount"": 40170.8}, {""price"": 0.3401, ""amount"": 22096.3}, {""price"": 0.3399, ""amount"": 21512.1}]",unknown,
C98/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,-0.24625217665622928,0,0.0546,0.0546,0.055965,0.05410714285714286,0.053836607142857144,0.056244825,24.0,0.025,30.6,2025-07-15 19:47:04.158561,ACTIVE,{},0,0.4,0.5,0.5,-0.08955968395884585,"[{""price"": 0.0468, ""amount"": 553917.1}, {""price"": 0.0544, ""amount"": 277900.0}, {""price"": 0.0539, ""amount"": 276213.4}]","[{""price"": 0.06, ""amount"": 789421.8}, {""price"": 0.0563, ""amount"": 342569.1}, {""price"": 0.0572, ""amount"": 256795.8}]",unknown,
CHESS/USDT,1h,LONG,0.36870468626738095,0,0,0,0,0.0,0.0,-0.7246260121433206,0,0.0765,0.0765,0.0784125,0.07558928571428572,0.07521133928571429,0.0788045625,24.0,0.025,30.6,2025-07-15 19:47:32.826709,ACTIVE,{},0,1.0,0.5,0.5,-0.31289972034747576,"[{""price"": 0.0723, ""amount"": 202521.3}, {""price"": 0.0763, ""amount"": 158349.1}, {""price"": 0.0734, ""amount"": 132100.4}]","[{""price"": 0.0795, ""amount"": 479766.9}, {""price"": 0.0824, ""amount"": 329481.8}, {""price"": 0.077, ""amount"": 189266.3}]",unknown,
ARKM/USDT,1h,LONG,0.370203276916794,0,0,0,0,0.0,0.0,0.32743431366982245,0,0.54,0.54,0.5535,0.5346785714285714,0.5320051785714286,0.5562674999999999,24.0,0.025,30.6,2025-07-15 19:48:11.443937,ACTIVE,{},0,0.6,0.5,0.5,0.20483150799757266,"[{""price"": 0.485, ""amount"": 340280.8}, {""price"": 0.529, ""amount"": 187734.6}, {""price"": 0.538, ""amount"": 81971.3}]","[{""price"": 0.55, ""amount"": 203796.8}, {""price"": 0.541, ""amount"": 81685.8}, {""price"": 0.542, ""amount"": 51929.1}]",unknown,
1000SATS/USDT,1h,LONG,0.36878642091954883,0,0,0,0,0.0,0.0,0.0,0,4.467e-05,4.467e-05,4.578675e-05,4.4239285714285714e-05,4.4018089285714284e-05,4.601568374999999e-05,24.0,0.025,30.6,2025-07-15 19:48:52.028507,ACTIVE,{},0,1.0,0.5,0.5,0.07855662759151835,"[{""price"": 4.42e-05, ""amount"": 532042770.0}, {""price"": 4.403e-05, ""amount"": 383193796.0}, {""price"": 4.369e-05, ""amount"": 262241878.0}]","[{""price"": 4.52e-05, ""amount"": 340627023.0}, {""price"": 4.466e-05, ""amount"": 123282783.0}, {""price"": 4.465e-05, ""amount"": 93187705.0}]",unknown,
BONK/USDT,1h,LONG,0.3687580443386529,0,0,0,0,0.0,0.0,0.0,0,3.008e-05,3.008e-05,3.0832e-05,2.96288e-05,2.9480656e-05,3.0986159999999995e-05,24.0,0.025,30.6,2025-07-15 19:49:26.267880,ACTIVE,{},0,0.4,0.5,0.5,-0.03657737381734638,"[{""price"": 2.967e-05, ""amount"": 7392355016.0}, {""price"": 2.97e-05, ""amount"": 5887373859.0}, {""price"": 2.965e-05, ""amount"": 5864648846.0}]","[{""price"": 3.04e-05, ""amount"": 18118725037.0}, {""price"": 3.045e-05, ""amount"": 4336475413.0}, {""price"": 3.047e-05, ""amount"": 2936304106.0}]",unknown,
AEVO/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,0.21151826435093007,0,0.1087,0.1087,0.11141749999999999,0.10761428571428572,0.10707621428571429,0.11197458749999997,24.0,0.025,30.6,2025-07-15 19:49:55.390186,ACTIVE,{},0,0.8,0.5,0.5,0.17215664067741893,"[{""price"": 0.1066, ""amount"": 567106.74}, {""price"": 0.1075, ""amount"": 394114.07}, {""price"": 0.108, ""amount"": 199077.42}]","[{""price"": 0.1104, ""amount"": 274248.83}, {""price"": 0.1094, ""amount"": 244367.8}, {""price"": 0.1096, ""amount"": 106027.3}]",unknown,
BANANA/USDT,1h,LONG,0.3736296071523174,0,0,0,0,0.0,0.0,0.0,0,23.03,23.03,23.60575,22.68455,22.57112725,23.723778749999997,24.0,0.025,30.6,2025-07-15 19:50:21.214503,ACTIVE,{},0,0.2,0.5,0.5,-0.061709943266426086,"[{""price"": 22.61, ""amount"": 2054.731}, {""price"": 22.71, ""amount"": 914.118}, {""price"": 22.95, ""amount"": 360.981}]","[{""price"": 23.54, ""amount"": 2036.054}, {""price"": 23.36, ""amount"": 729.184}, {""price"": 24.52, ""amount"": 693.965}]",unknown,
BERA/USDT,1h,LONG,0.37367721017421995,0,0,0,0,0.0,0.0,0.39245071927333824,0,2.21,2.21,2.26525,2.180357142857143,2.169455357142857,2.2765762499999997,24.0,0.025,30.6,2025-07-15 19:51:13.455607,ACTIVE,{},0,1.0,0.5,0.5,0.4746578918002238,"[{""price"": 2.17, ""amount"": 77991.684}, {""price"": 2.18, ""amount"": 50012.615}, {""price"": 2.2, ""amount"": 49382.977}]","[{""price"": 2.25, ""amount"": 75029.381}, {""price"": 2.3, ""amount"": 9326.025}, {""price"": 2.247, ""amount"": 8846.943}]",unknown,
